imovelId,uf,cidadeId,titulo,fotoFilename,fotoUrl,modalidade,tipoImovel,areaUtilM2,quartos,vagas,valorAvaliacao,valorMinimo,descontoPercent,enderecoRaw,observacoesRaw,page
8444403831262,RJ,7084,ITABORAI - CONDOMINIO RESIDENCIAL FLORES DO CAMPO,F844440383126221.jpg,https://venda-imoveis.caixa.gov.br/fotos/F844440383126221.jpg,Venda Online,Casa,,,,129000,67253.6,47.87,"ESTRADA MUNICIPAL ITAMBI - PORTO DAS CAIXAS,N. 00 CS 40,  , COND RES FLORES DO C","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8555522523199,RJ,7084,ITABORAI - CONDOMINIO JARDIM MARAMBAIA,F855552252319921.jpg,https://venda-imoveis.caixa.gov.br/fotos/F855552252319921.jpg,Venda Direta Online,Casa,,,1,103000,51499.77,50,"ESTRADA ITABORAÍ - CABUÇU,N. SN FRAÇÃO 129, RUA BROMÉLIA,  , CABUCU ZR2","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8555525674910,RJ,7084,ITABORAI - CONDOMINIO JARDIM MARAMBAIA,F855552567491021.jpg,https://venda-imoveis.caixa.gov.br/fotos/F855552567491021.jpg,Venda Direta Online,Casa,51.49,2,,150300,87995.09,41.45,"ESTRADA ITABORAI - CABUÇU,N. SN FRAÇÃO 289,  , CABUCU","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8555536567185,RJ,7084,ITABORAI - CONDOMÍNIO CONQUISTA ITABORAI,F855553656718521.jpg,https://venda-imoveis.caixa.gov.br/fotos/F855553656718521.jpg,Venda Direta Online,Apartamento,43.95,2,1,117000,67068.27,42.68,"AV. FLAVIO VASCONCELOS,N. SN Apto. 104 LT 01, QD 08, BL 18,  , VIVER MELHOR ITABORA","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8555537440120,RJ,7084,ITABORAI - COND CONQUISTA ITABORAI,F855553744012021.jpg,https://venda-imoveis.caixa.gov.br/fotos/F855553744012021.jpg,Venda Direta Online,Apartamento,43.95,2,1,120000,68787.97,42.68,"AVENIDA FLAVIO VASCONCELOS,N. S/N Apto. 201 BL 4,  , VENDA DAS PEDRAS","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8555539310975,RJ,7084,ITABORAI - CONDOMÍNIO CONQUISTA ITABORAI,F855553931097521.jpg,https://venda-imoveis.caixa.gov.br/fotos/F855553931097521.jpg,Venda Online,Apartamento,,,1,109000,53638.49,50.79,"AVENIDA FLAVIO VASCONCELOS,N. 60391 Apto. 302 LOTE 01  QUADRA 08,  , LOTEAMENTO VIVER MEL","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8787701569259,RJ,7084,ITABORAI - LOT VIVER MELHOR ITABORAI,F878770156925921.jpg,https://venda-imoveis.caixa.gov.br/fotos/F878770156925921.jpg,Venda Online,Apartamento,,,1,116000,60226.29,48.08,"AVENIDA FLAVIO VASCONCELOS,N. S/N Apto. 302 QD 08 LT 01 BL 11 COND CONQUISTA ITABORA,  , ESPERANÇA","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8787705864425,RJ,7084,ITABORAI - COND RES SERRANO,F878770586442521.jpg,https://venda-imoveis.caixa.gov.br/fotos/F878770586442521.jpg,Venda Direta Online,Apartamento,60.82,2,,150000,87819.45,41.45,"RUA 2,N. SN Apto. 401 QD  A, LT 18,  , JARDIM PROGRESSO","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8787708069383,RJ,7084,ITABORAI - PORTAL JD DAS VIOLETAS,F878770806938321.jpg,https://venda-imoveis.caixa.gov.br/fotos/F878770806938321.jpg,Venda Direta Online,Apartamento,48.8,2,1,129000,74726.23,42.07,"ESTRADA DA BOA VISTA,N. 1A Apto. 101 101, TO 15,  , NOVO HORIZONTE","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
8787708976550,RJ,7084,ITABORAI - CONDOMINIO PORTAL JARDIM DAS BROMELIAS,F878770897655021.jpg,https://venda-imoveis.caixa.gov.br/fotos/F878770897655021.jpg,Venda Direta Online,Apartamento,144.81,2,1,146000,85477.6,41.45,"ESTRADA DA BOA VISTA,N. SN Apto. 204 TORRE 07,  , NOVO HORIZONTE","Despesas do imóvel, se houver: Condomínio (até 10% do valor de avaliação) e tributos sob responsabilidade do comprador.",1
